SCODE,Year,FEM_NUM,FEM_RTO,BOARDSIZE,IDOUT_RTO,IDOUT_NUM,AGE_AVERAGE,BRD_AGEMAX_B,BRD_AGEMIN_B,NKILM,ROA,ASS_ROA,ASS,DASS,FRAUD
7214,2017,0,0,10,10,1,59,71,44,27,4.53895,62856,66435,52.1,0
1964,2017,0,0,9,11.1,1,63,73,55,41,3.34268,38502,41494,48.8,0
1884,2017,0,0,6,33.3,2,61,64,50,41,5.11362,142443,148624,47.7,0
2337,2018,2,10.5,9,66.7,6,58,71,42,53,7.78248,296512,319599,67.8,0
4043,2017,0,0,12,25,3,61,69,50,7,8.52808,424433,361949,62.3,0
1824,2019,1,5.9,12,16.7,2,62,70,51,41,5.0997,717630,920786,62.7,0
8098,2017,0,0,9,22.2,2,61,68,54,43,1.8739,340147,353382,59.6,0
5711,2017,1,7.1,9,33.3,3,64,71,59,19,4.19734,1896939,2015084,61.9,0
7937,2017,0,0,7,28.6,2,59,74,39,33,1.47549,71976,72023,2.6,0
7815,2017,0,0,5,0,0,60,69,50,33,-3.89579,24950,24310,82.4,0
7868,2018,1,10,7,14.3,1,58,64,49,33,2.05558,79637,76996,40.1,0
7315,2017,1,7.1,10,20,2,62,68,55,27,7.56612,113691,120722,40.8,0
5967,2020,1,14.3,7,42.9,3,57,67,42,19,14.85999,8035,9474,15.1,0
7732,2020,1,7.7,9,44.4,4,63,75,49,31,3.45472,161721,168210,58,0
1884,2019,0,0,6,33.3,2,60,66,46,41,5.18894,151341,145974,41.4,0
1882,2020,0,0,7,28.6,2,62,72,52,41,8.6377,84027,87846,45.3,0
